    Symbol Name       Value       Hex      Decimal       Char    

tensio_fora                                                      
[0]                   52.16388 0x4250A7D0 1112582096       'BP..'
[1]                   87.92532 0x42AFD9C3 1118820803       'B...'
[2]                   87.98784 0x42AFF9C6 1118828998       'B...'
[3]                   87.82111 0x42AFA469 1118807145       'B..i'
[4]                   87.44600 0x42AEE45A 1118757978       'B..Z'
[5]                   87.42516 0x42AED9AE 1118755246       'B...'
[6]                   87.63355 0x42AF4461 1118782561       'B.Da'
[7]                   86.88332 0x42ADC442 1118684226       'B..B'
[8]                   86.71660 0x42AD6EE6 1118662374       'B.n.'
[9]                   87.00835 0x42AE0447 1118700615       'B..G'
[10]                  86.52904 0x42AD0EDE 1118637790       'B...'
[11]                  86.44568 0x42ACE430 1118626864       'B..0'
[12]                  86.50819 0x42AD0432 1118635058       'B..2'
[13]                  86.17475 0x42AC5979 1118591353       'B.Yy'
[14]                  86.40400 0x42ACCED9 1118621401       'B...'
[15]                  86.09139 0x42AC2ECB 1118580427       'B...'
[16]                  86.17475 0x42AC5979 1118591353       'B.Yy'
[17]                  86.02888 0x42AC0EC9 1118572233       'B...'
[18]                  86.27895 0x42AC8ED3 1118605011       'B...'
[19]                  85.77879 0x42AB8EBE 1118539454       'B...'
[20]                  85.57040 0x42AB240B 1118512139       'B.$.'
[21]                  85.40368 0x42AACEAF 1118490287       'B...'
[22]                  85.42451 0x42AAD95A 1118493018       'B..Z'
[23]                  85.32031 0x42AAA400 1118479360       'B...'
[24]                  85.21611 0x42AA6EA6 1118465702       'B.n.'
[25]                  86.19559 0x42AC6425 1118594085       'B.d%'
[26]                  85.65376 0x42AB4EB9 1118523065       'B.N.'
[27]                  85.94551 0x42ABE41A 1118561306       'B...'
[28]                  85.40368 0x42AACEAF 1118490287       'B...'
[29]                  85.77879 0x42AB8EBE 1118539454       'B...'
[30]                  85.77879 0x42AB8EBE 1118539454       'B...'
[31]                  84.86184 0x42A9B943 1118419267       'B..C'
[32]                  85.46619 0x42AAEEB1 1118498481       'B...'
[33]                  85.21611 0x42AA6EA6 1118465702       'B.n.'
[34]                  84.84100 0x42A9AE97 1118416535       'B...'
[35]                  84.73679 0x42A9793D 1118402877       'B.y='
[36]                  83.90320 0x42A7CE70 1118293616       'B..p'
[37]                  83.46555 0x42A6EE5D 1118236253       'B..]'
